School Name,State Name [Public School] Latest available year,Latitude [Public School] 2019-20,Longitude [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Total Students All Grades (Includes AE) [Public School] 2019-20,Free and Reduced Lunch Students [Public School] 2019-20,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,Location Address 1 [Public School] 2019-20,Location Address 2 [Public School] 2019-20,Location City [Public School] 2019-20,Location State Abbr [Public School] 2019-20,Location ZIP [Public School] 2019-20,Location ZIP4 [Public School] 2019-20,Agency Type [District] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20,American Indian/Alaska Native Students [Public School] 2019-20,Asian or Asian/Pacific Islander Students [Public School] 2019-20,Hispanic Students [Public School] 2019-20,Black or African American Students [Public School] 2019-20,White Students [Public School] 2019-20,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2019-20,Two or More Races Students [Public School] 2019-20,Total Race/Ethnicity [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20
HARTSFIELD EL,Texas,29.694199,-95.343054,2-No,1-Yes,422,410,TX ,482364002481,HOUSTON ISD,5001 PERRY ST,†,HOUSTON,TX ,77021,3515,†,Elementary,1,1,70,347,1,0,2,422,24.63,17.13
HARVARD EL,Texas,29.785915,-95.395965,2-No,1-Yes,655,99,TX ,482364002482,HOUSTON ISD,810 HARVARD ST,†,HOUSTON,TX ,77007,1607,†,Elementary,3,33,228,23,323,1,44,655,37,17.7
HCC LIFE SKILLS PROGRAM,TEXAS,29.737194,-95.376308,2-No,2-No,79,59,TX ,482364016982,HOUSTON ISD,1301 ALABAMA ST,†,HOUSTON,TX ,77004,3907,†,High,0,2,49,25,3,0,0,79,22.52,3.51
HEIGHTS H S,Texas,29.795384,-95.393500,2-No,1-Yes,2291,1478,TX ,482364002562,HOUSTON ISD,413 E 13TH ST,†,HOUSTON,TX ,77008,7021,†,High,4,21,1767,250,223,2,24,2291,119.31,19.2
HELMS EL,Texas,29.805178,-95.407006,2-No,1-Yes,487,305,TX ,482364002484,HOUSTON ISD,503 W 21ST ST,†,HOUSTON,TX ,77008,3641,†,Elementary,0,6,382,38,49,0,12,487,30,16.23
HENDERSON J EL,Texas,29.723286,-95.320583,2-No,2-No,742,737,TX ,482364002485,HOUSTON ISD,1800 DISMUKE,†,HOUSTON,TX ,77023,4753,†,Elementary,1,0,711,21,8,0,1,742,39.82,18.63
HENDERSON N EL,Texas,29.769223,-95.321406,2-No,2-No,318,310,TX ,482364002486,HOUSTON ISD,701 SOLO ST,†,HOUSTON,TX ,77020,7213,†,Elementary,0,0,68,242,4,0,4,318,18.82,16.9
HENRY MIDDLE,Texas,29.868556,-95.362834,2-No,2-No,804,774,TX ,482364002487,HOUSTON ISD,10702 E HARDY,†,HOUSTON,TX ,77093,4002,†,Middle,1,0,684,102,15,1,1,804,55.61,14.46
HEROD EL,Texas,29.683456,-95.487222,2-No,1-Yes,811,393,TX ,482364002488,HOUSTON ISD,5627 JASON ST,†,HOUSTON,TX ,77096,2110,†,Elementary,2,61,327,205,189,0,27,811,42.82,18.94
HERRERA EL,Texas,29.822411,-95.366367,2-No,1-Yes,896,875,TX ,482364001322,HOUSTON ISD,525 BENNINGTON ST,†,HOUSTON,TX ,77022,4911,†,Elementary,0,1,856,16,23,0,0,896,51.82,17.29
HIGHLAND HTS EL,Texas,29.849235,-95.420684,2-No,2-No,472,436,TX ,482364002489,HOUSTON ISD,865 PAUL QUINN ST,†,HOUSTON,TX ,77091,4154,†,Elementary,3,0,240,222,5,0,2,472,31.83,14.83
HILLIARD EL,Texas,29.838450,-95.268239,2-No,2-No,577,552,TX ,482364012966,HOUSTON ISD,8115 E HOUSTON RD,†,HOUSTON,TX ,77028,2022,†,Elementary,0,1,164,400,8,0,4,577,35.64,16.19
HINES-CALDWELL,Texas,29.626930,-95.472305,2-No,2-No,810,734,TX ,482364010751,HOUSTON ISD,5515 W OREM,†,HOUSTON,TX ,77085,1253,†,Elementary,0,6,649,145,5,0,5,810,40,20.25
HOBBY EL,Texas,29.635314,-95.436981,2-No,2-No,779,737,TX ,482364002490,HOUSTON ISD,4021 WOODMONT DR,†,HOUSTON,TX ,77045,3515,†,Elementary,0,2,445,309,9,0,14,779,45.82,17
HOGG MIDDLE,Texas,29.789863,-95.386199,2-No,1-Yes,1032,441,TX ,482364002491,HOUSTON ISD,1100 MERRILL ST,†,HOUSTON,TX ,77009,6009,†,Middle,3,17,702,64,215,2,29,1032,53.82,19.18
HOLLAND MIDDLE,Texas,29.762866,-95.273831,2-No,2-No,680,667,TX ,482364005494,HOUSTON ISD,1600 GELLHORN,†,HOUSTON,TX ,77029,3328,†,Middle,2,1,540,128,7,0,2,680,38.67,17.58
HORN EL,Texas,29.693850,-95.454467,2-No,2-No,822,85,TX ,482364002494,HOUSTON ISD,4530 HOLLY ST,†,BELLAIRE,TX ,77401,5803,†,Elementary,1,288,129,40,315,0,49,822,42,19.57
HOUSTON ACADEMY FOR INTERNATIONAL STUDIES,Texas,29.737046,-95.370072,2-No,1-Yes,497,326,TX ,482364011263,HOUSTON ISD,1810 STUART,†,HOUSTON,TX ,77004,3043,†,High,1,14,267,180,30,0,5,497,22.55,22.04
HOUSTON MATH SCIENCE AND TECHNOLOGY CENTER,Texas,29.847589,-95.361584,2-No,2-No,2801,2619,TX ,482364012211,HOUSTON ISD,9400 IRVINGTON,†,HOUSTON,TX ,77076,5224,†,High,6,2,2534,207,44,1,7,2801,137.94,20.31
INSPIRED FOR EXCELLENCE ACADEMY INC,Texas,29.640424,-95.506913,1-Yes,2-No,171,167,TX ,482364012042,HOUSTON ISD,12525 FONDREN RD,†,HOUSTON,TX ,77035,5252,†,Middle,1,0,111,59,0,0,0,171,8.82,19.39
ISAACS EL,Texas,29.795051,-95.318424,2-No,2-No,313,299,TX ,482364002497,HOUSTON ISD,3830 PICKFAIR ST,†,HOUSTON,TX ,77026,3968,†,Elementary,0,0,171,138,3,0,1,313,19.3,16.22
JANOWSKI EL,Texas,29.830197,-95.370882,2-No,2-No,524,498,TX ,482364002499,HOUSTON ISD,7500 BAUMAN RD,†,HOUSTON,TX ,77022,6125,†,Elementary,1,1,488,18,15,0,1,524,31,16.9
JEFFERSON EL,Texas,29.805381,-95.370654,2-No,2-No,434,409,TX ,482364002500,HOUSTON ISD,5000 SHARMAN ST,†,HOUSTON,TX ,77009,2651,†,Elementary,1,1,399,26,5,0,2,434,27,16.07
JONES FUTURES ACADEMY,Texas,29.674981,-95.340951,2-No,1-Yes,359,335,TX ,482364002503,HOUSTON ISD,7414 ST LO RD,†,HOUSTON,TX ,77033,2797,†,High,1,0,226,130,2,0,0,359,25.84,13.89
KASHMERE GARDENS EL,Texas,29.804904,-95.318246,2-No,2-No,477,467,TX ,482364002505,HOUSTON ISD,4901 LOCKWOOD DR,†,HOUSTON,TX ,77026,2997,†,Elementary,1,0,74,397,4,0,1,477,27.72,17.21
KASHMERE H S,Texas,29.822690,-95.315479,2-No,1-Yes,830,810,TX ,482364002506,HOUSTON ISD,6900 WILEYVALE ST,†,HOUSTON,TX ,77028,4156,†,High,1,0,303,505,15,0,6,830,49.77,16.68
KELSO EL,Texas,29.682041,-95.333699,2-No,2-No,492,479,TX ,482364002507,HOUSTON ISD,5800 SOUTHMUND ST,†,HOUSTON,TX ,77033,1832,†,Elementary,1,0,306,174,3,0,8,492,25,19.68
KENNEDY EL,Texas,29.834488,-95.393613,2-No,2-No,717,697,TX ,482364002508,HOUSTON ISD,400 VICTORIA DR,†,HOUSTON,TX ,77022,3931,†,Elementary,0,0,535,167,8,0,7,717,36.85,19.46
KETELSEN EL,Texas,29.780523,-95.361943,2-No,2-No,549,532,TX ,482364009279,HOUSTON ISD,600 QUITMAN,†,HOUSTON,TX ,77009,8113,†,Elementary,0,0,526,15,7,0,1,549,29,18.93
KEY MIDDLE,Texas,29.811688,-95.330213,2-No,2-No,640,608,TX ,482364002509,HOUSTON ISD,4000 KELLEY ST,†,HOUSTON,TX ,77026,1534,†,Middle,2,0,286,338,12,0,2,640,42.91,14.91
KINDER H S FOR PERFORMING AND VISUAL ARTS,Texas,29.757108,-95.360453,2-No,1-Yes,794,134,TX ,482364002552,HOUSTON ISD,790 AUSTIN ST,†,HOUSTON,TX ,77002,,†,High,3,73,217,133,336,1,31,794,45.7,17.37
KING EARLY CHILDHOOD CTR,Texas,29.614025,-95.436000,2-No,2-No,402,402,TX ,482364010746,HOUSTON ISD,3930 W FUQUA,†,HOUSTON,TX ,77045,6302,†,Elementary,0,0,185,211,6,0,0,402,21,19.14
KOLTER EL,Texas,29.712887,-95.455950,2-No,1-Yes,687,147,TX ,482364002510,HOUSTON ISD,6300 AVE B,†,BELLAIRE,TX ,77401,,†,Elementary,2,66,180,85,328,0,26,687,38,18.08
LAMAR H S,Texas,29.740249,-95.426211,2-No,1-Yes,2807,1296,TX ,482364002512,HOUSTON ISD,3325 WESTHEIMER RD,†,HOUSTON,TX ,77098,1003,†,High,10,164,1039,750,771,5,68,2807,133.74,20.99
LANIER MIDDLE,Texas,29.741828,-95.405713,2-No,1-Yes,1461,320,TX ,482364002514,HOUSTON ISD,2600 WOODHEAD ST,†,HOUSTON,TX ,77098,1615,†,Middle,5,282,431,199,452,4,88,1461,67,21.81
LANTRIP EL,Texas,29.740286,-95.335098,2-No,1-Yes,699,548,TX ,482364002515,HOUSTON ISD,100 TELEPHONE RD,†,HOUSTON,TX ,77023,1834,†,Elementary,1,5,630,33,27,0,3,699,42.5,16.45
LAS AMERICAS,Texas,29.704341,-95.497999,2-No,2-No,354,354,TX ,482364008608,HOUSTON ISD,6501 BELLAIRE BLVD,†,HOUSTON,TX ,77074,6428,†,Middle,0,15,325,10,4,0,0,354,13,27.23
LAURENZO EARLY CHILDHOOD CTR,Texas,29.746417,-95.319786,2-No,2-No,321,317,TX ,482364010747,HOUSTON ISD,205 N DELMAR,†,HOUSTON,TX ,77011,2309,†,Elementary,0,0,306,9,5,0,1,321,19.79,16.22
LAW EL,Texas,29.627827,-95.364475,2-No,2-No,669,612,TX ,482364002516,HOUSTON ISD,12401 S COAST DR,†,HOUSTON,TX ,77047,2736,†,Elementary,0,5,174,468,11,1,10,669,38,17.61
LAWSON MIDDLE,Texas,29.622869,-95.452879,2-No,1-Yes,1330,1270,TX ,482364002442,HOUSTON ISD,14000 STANCLIFF ST,†,HOUSTON,TX ,77045,5328,†,Middle,3,3,824,483,6,4,7,1330,71.79,18.53
LEWIS EL,Texas,29.665578,-95.282481,2-No,2-No,799,772,TX ,482364002519,HOUSTON ISD,6745 TIPPERARY,†,HOUSTON,TX ,77061,2101,†,Elementary,2,0,636,150,9,0,2,799,46.38,17.23
LIBERTY H S,Texas,29.698850,-95.531716,2-No,2-No,387,379,TX ,482364010741,HOUSTON ISD,8330 TRIOLA LN,†,HOUSTON,TX ,77036,6310,†,High,0,8,341,26,12,0,0,387,17.66,21.91
LOCKHART EL,Texas,29.717530,-95.365653,2-No,1-Yes,578,509,TX ,482364002521,HOUSTON ISD,3200 ROSEDALE ST,†,HOUSTON,TX ,77004,6211,†,Elementary,3,3,13,545,8,1,5,578,33.79,17.11
LONG ACADEMY,Texas,29.704341,-95.497999,2-No,1-Yes,950,934,TX ,482364002522,HOUSTON ISD,6501 BELLAIRE BLVD,†,HOUSTON,TX ,77074,6428,†,High,5,60,718,130,33,0,4,950,49.05,19.37
LONGFELLOW EL,Texas,29.687206,-95.432238,2-No,1-Yes,733,516,TX ,482364002523,HOUSTON ISD,3617 NORRIS,†,HOUSTON,TX ,77025,3699,†,Elementary,2,58,178,434,46,2,13,733,41.71,17.57
LOOSCAN EL,Texas,29.795291,-95.357721,2-No,2-No,329,321,TX ,482364002524,HOUSTON ISD,3800 ROBERTSON ST,†,HOUSTON,TX ,77009,4959,†,Elementary,0,0,307,20,2,0,0,329,24.82,13.26
LOVE EL,Texas,29.793673,-95.408922,2-No,2-No,359,281,TX ,482364002525,HOUSTON ISD,1120 W 13TH ST,†,HOUSTON,TX ,77008,6627,†,Elementary,1,2,310,27,17,0,2,359,23,15.61
LOVETT EL,Texas,29.682691,-95.469149,2-No,1-Yes,671,209,TX ,482364002526,HOUSTON ISD,8814 S RICE AVE,†,HOUSTON,TX ,77096,2622,†,Elementary,2,63,171,157,251,0,27,671,40.45,16.59
LYONS EL,Texas,29.855511,-95.367009,2-No,2-No,980,928,TX ,482364004587,HOUSTON ISD,800 ROXELLA RD,†,HOUSTON,TX ,77076,4431,†,Elementary,0,0,952,11,13,0,4,980,50,19.6
MACGREGOR EL,Texas,29.728118,-95.380932,2-No,1-Yes,520,381,TX ,482364002528,HOUSTON ISD,4801 LABRANCH ST,†,HOUSTON,TX ,77004,5650,†,Elementary,1,4,133,353,12,0,17,520,30,17.33
MADING EL,Texas,29.659646,-95.327519,2-No,2-No,388,374,TX ,482364002529,HOUSTON ISD,8511 CRESTMONT ST,†,HOUSTON,TX ,77033,1324,†,Elementary,0,0,119,266,0,0,3,388,31,12.52
MADISON H S,Texas,29.629169,-95.435617,2-No,2-No,1778,1522,TX ,482364002530,HOUSTON ISD,13719 WHITEHEATHER,†,HOUSTON,TX ,77045,4421,†,High,1,9,1099,645,14,2,8,1778,92.23,19.28
MANDARIN IMMERSION MAGNET SCHOOL,Texas,29.737317,-95.472730,2-No,1-Yes,702,177,TX ,482364012659,HOUSTON ISD,5445 W ALABAMA,†,HOUSTON,TX ,77056,2662,†,Elementary,0,294,126,109,109,1,63,702,41,17.12
MARK WHITE EL,TEXAS,29.742357,-95.509546,2-No,2-No,697,498,TX ,482364013067,HOUSTON ISD,2515 OLD FARM RD,†,HOUSTON,TX ,77063,,†,Elementary,4,106,286,133,153,1,14,697,39.49,17.65
MARSHALL EL,Texas,29.898200,-95.297800,2-No,2-No,898,844,TX ,482364013015,HOUSTON ISD,6200 WINFIELD RD,†,HOUSTON,TX ,77050,4604,†,Elementary,1,1,582,303,7,1,3,898,50.64,17.73
MARSHALL MIDDLE,Texas,29.782140,-95.357137,2-No,1-Yes,750,715,TX ,482364002531,HOUSTON ISD,1115 NOBLE ST,†,HOUSTON,TX ,77009,8437,†,Middle,1,0,619,121,8,0,1,750,44.85,16.72
MARTINEZ C EL,Texas,29.790269,-95.359508,2-No,2-No,394,384,TX ,482364006985,HOUSTON ISD,901 HAYS ST,†,HOUSTON,TX ,77009,8910,†,Elementary,0,1,227,160,4,0,2,394,29.51,13.35
MARTINEZ R EL,Texas,29.773140,-95.296741,2-No,2-No,537,516,TX ,482364001432,HOUSTON ISD,7211 MARKET ST,†,HOUSTON,TX ,77020,5422,†,Elementary,0,0,520,13,4,0,0,537,29.62,18.13
MCGOWEN EL,Texas,29.820528,-95.300485,2-No,2-No,464,455,TX ,482364002495,HOUSTON ISD,6820 HOMESTEAD RD,†,HOUSTON,TX ,77028,5045,†,Elementary,1,0,139,320,4,0,0,464,26,17.85
MCNAMARA EL,Texas,29.684354,-95.504373,2-No,2-No,971,936,TX ,482364002566,HOUSTON ISD,8714 MCAVOY DR,†,HOUSTON,TX ,77074,7308,†,Elementary,1,107,696,119,42,0,6,971,50.14,19.37
MCREYNOLDS MIDDLE,Texas,29.771725,-95.311948,2-No,2-No,554,549,TX ,482364002533,HOUSTON ISD,5910 MARKET ST,†,HOUSTON,TX ,77020,6627,†,Middle,2,0,443,106,3,0,0,554,35.6,15.56
MEMORIAL EL,Texas,29.769801,-95.425310,2-No,2-No,320,193,TX ,482364002534,HOUSTON ISD,6401 ARNOT ST,†,HOUSTON,TX ,77007,2007,†,Elementary,1,17,231,18,40,0,13,320,20,16
MEYERLAND MIDDLE,Texas,29.669075,-95.474339,2-No,1-Yes,1476,888,TX ,482364002501,HOUSTON ISD,10410 MANHATTAN DR,†,HOUSTON,TX ,77096,5202,†,Middle,2,22,770,495,167,1,19,1476,86.76,17.01
MICKEY LELAND COLLEGE PREP ACAD FOR YOUNG MEN,Texas,29.776713,-95.335360,2-No,1-Yes,479,333,TX ,482364012618,HOUSTON ISD,1700 GREGG ST,†,HOUSTON,TX ,77020,2124,†,High,0,3,225,239,10,0,2,479,24.21,19.79
MIDDLE COLLEGE H S AT HCC FRAGA,TEXAS,29.752220,-95.332296,2-No,2-No,118,109,TX ,482364013180,HOUSTON ISD,301 N DRENNAN,†,HOUSTON,TX ,77003,,†,High,0,0,108,9,1,0,0,118,6,19.67
MIDDLE COLLEGE H S AT HCC GULFTON,TEXAS,29.715960,-95.474731,2-No,2-No,173,165,TX ,482364013076,HOUSTON ISD,5407 GULFTON ST 219,†,HOUSTON,TX ,77081,2803,†,High,0,2,130,38,2,1,0,173,5.58,31
MILBY H S,Texas,29.710873,-95.277294,2-No,1-Yes,2060,1913,TX ,482364002536,HOUSTON ISD,1601 BROADWAY,†,HOUSTON,TX ,77012,3721,†,High,7,8,1950,75,17,0,3,2060,96.83,21.27
MILNE EL,Texas,29.661066,-95.515245,2-No,2-No,565,538,TX ,482364021036,HOUSTON ISD,7800 PORTAL DR,†,HOUSTON,TX ,77071,1700,†,Elementary,2,1,298,251,12,0,1,565,36,15.69
MISTRAL CENTER FOR EARLY CHILDHOOD,Texas,29.701496,-95.491794,2-No,2-No,356,351,TX ,482364010745,HOUSTON ISD,6203 JESSAMINE,†,HOUSTON,TX ,77081,6304,†,Elementary,0,9,304,30,10,0,3,356,20.25,17.58
MITCHELL EL,Texas,29.607474,-95.275904,2-No,2-No,443,422,TX ,482364002537,HOUSTON ISD,10900 GULFDALE DR,†,HOUSTON,TX ,77075,4608,†,Elementary,2,7,275,149,6,0,4,443,24,18.46
MONTGOMERY EL,Texas,29.620308,-95.436923,2-No,2-No,524,505,TX ,482364002539,HOUSTON ISD,4000 SIMSBROOK DR,†,HOUSTON,TX ,77045,5628,†,Elementary,0,1,305,214,3,0,1,524,32.44,16.15
MORENO EL,Texas,29.874853,-95.390131,2-No,2-No,735,735,TX ,482364010749,HOUSTON ISD,620 E CANINO,†,HOUSTON,TX ,77037,4619,†,Elementary,0,3,716,13,0,0,3,735,41.56,17.69
MOUNT CARMEL ACADEMY,Texas,29.660829,-95.301575,1-Yes,2-No,325,253,TX ,482364012203,HOUSTON ISD,7155 ASHBURN ST,†,HOUSTON,TX ,77061,2611,†,High,0,1,293,25,4,0,2,325,23.88,13.61
NAVARRO MIDDLE,Texas,29.735042,-95.325463,2-No,2-No,668,626,TX ,482364002498,HOUSTON ISD,5100 POLK ST,†,HOUSTON,TX ,77023,1420,†,Middle,0,1,615,48,4,0,0,668,40,16.7
NEFF ECC,Texas,29.697654,-95.529063,2-No,2-No,684,625,TX ,482364002541,HOUSTON ISD,8200 CARVEL LN,†,HOUSTON,TX ,77036,6320,†,Elementary,0,26,582,54,20,0,2,684,43,15.91
NEFF EL,Texas,29.700315,-95.532441,2-No,2-No,781,720,TX ,482364010750,HOUSTON ISD,8301 NEFF ST,†,HOUSTON,TX ,77036,,†,Elementary,0,51,668,45,15,0,2,781,41.32,18.9
NORTH FOREST H S,Texas,29.867029,-95.259744,2-No,2-No,976,931,TX ,482364013022,HOUSTON ISD,10726 MESA DR,†,HOUSTON,TX ,77078,1401,†,High,2,0,397,570,6,0,1,976,58.28,16.75
NORTH HOUSTON EARLY COLLEGE H S,Texas,29.833163,-95.377713,2-No,1-Yes,486,407,TX ,482364012246,HOUSTON ISD,8001 FULTON ST BLDG C,†,HOUSTON,TX ,77022,8501,†,High,0,3,436,47,0,0,0,486,20.35,23.88
NORTHLINE EL,Texas,29.851146,-95.386818,2-No,2-No,554,536,TX ,482364002543,HOUSTON ISD,821 WITCHER LN,†,HOUSTON,TX ,77076,4818,†,Elementary,1,0,519,20,10,0,4,554,32.64,16.97
NORTHSIDE H S,Texas,29.783425,-95.358661,2-No,1-Yes,1480,1369,TX ,482364002434,HOUSTON ISD,1101 QUITMAN,†,HOUSTON,TX ,77009,7815,†,High,4,4,1266,195,6,0,5,1480,85.45,17.32
OAK FOREST EL,Texas,29.827777,-95.436347,2-No,1-Yes,890,131,TX ,482364002544,HOUSTON ISD,1401 W 43RD ST,†,HOUSTON,TX ,77018,4106,†,Elementary,3,35,286,41,482,2,41,890,47.32,18.81
OATES EL,Texas,29.793150,-95.252327,2-No,2-No,396,385,TX ,482364002545,HOUSTON ISD,10044 WALLISVILLE RD,†,HOUSTON,TX ,77013,4616,†,Elementary,0,3,342,42,5,0,4,396,25.82,15.34
ORTIZ MIDDLE,Texas,29.663378,-95.287781,2-No,1-Yes,1107,1069,TX ,482364009275,HOUSTON ISD,6767 TELEPHONE RD,†,HOUSTON,TX ,77061,2056,†,Middle,0,23,870,201,8,0,5,1107,63.08,17.55
OSBORNE EL,Texas,29.875763,-95.416577,2-No,2-No,329,320,TX ,482364002547,HOUSTON ISD,800 RINGOLD ST,†,HOUSTON,TX ,77088,6337,†,Elementary,1,0,146,175,6,0,1,329,23,14.3
PARK PLACE EL,Texas,29.689530,-95.273199,2-No,2-No,970,892,TX ,482364002548,HOUSTON ISD,8235 PARK PL BLVD,†,HOUSTON,TX ,77017,3104,†,Elementary,1,145,788,24,8,0,4,970,51,19.02
PARKER EL,Texas,29.665579,-95.483962,2-No,1-Yes,912,385,TX ,482364002549,HOUSTON ISD,10626 ATWELL DR,†,HOUSTON,TX ,77096,4925,†,Elementary,1,34,418,137,281,0,41,912,55.49,16.44
PATTERSON EL,Texas,29.682397,-95.242546,2-No,1-Yes,925,842,TX ,482364002550,HOUSTON ISD,5302 ALLENDALE RD,†,HOUSTON,TX ,77017,6214,†,Elementary,0,2,848,61,14,0,0,925,52.79,17.52
PECK EL,Texas,29.706498,-95.334265,2-No,2-No,513,491,TX ,482364002551,HOUSTON ISD,5001 MARTIN LUTHER KING JR BLVD,†,HOUSTON,TX ,77021,2902,†,Elementary,1,0,237,265,4,0,6,513,29.24,17.54
PERSHING MIDDLE,Texas,29.701729,-95.438741,2-No,1-Yes,1785,899,TX ,482364002553,HOUSTON ISD,3838 BLUE BONNET,†,HOUSTON,TX ,77025,1230,†,Middle,4,123,679,602,343,3,31,1785,87.17,20.48
PETERSEN EL,Texas,29.617590,-95.425395,2-No,2-No,411,402,TX ,482364002554,HOUSTON ISD,14404 WATERLOO DR,†,HOUSTON,TX ,77045,6620,†,Elementary,0,4,307,95,4,0,1,411,28,14.68
PILGRIM ACADEMY,Texas,29.728949,-95.493807,2-No,2-No,1201,1153,TX ,482364002555,HOUSTON ISD,6302 SKYLINE,†,HOUSTON,TX ,77057,6902,†,Elementary,2,2,1113,59,22,1,2,1201,62.3,19.28
PIN OAK MIDDLE,Texas,29.719626,-95.456773,2-No,1-Yes,1254,441,TX ,482364009274,HOUSTON ISD,4601 GLENMONT,†,BELLAIRE,TX ,77401,2328,†,Middle,3,189,466,102,451,0,43,1254,64.8,19.35
PINEY POINT EL,Texas,29.724352,-95.521884,2-No,2-No,1229,1206,TX ,482364002556,HOUSTON ISD,8921 PAGEWOOD LN,†,HOUSTON,TX ,77063,5543,†,Elementary,8,41,986,142,48,0,4,1229,67.12,18.31
PLEASANTVILLE EL,Texas,29.764296,-95.272054,2-No,2-No,281,265,TX ,482364002558,HOUSTON ISD,1431 GELLHORN DR,†,HOUSTON,TX ,77029,3343,†,Elementary,0,0,99,174,5,0,3,281,18,15.61
POE EL,Texas,29.727206,-95.407623,2-No,1-Yes,844,225,TX ,482364002559,HOUSTON ISD,5100 HAZARD ST,†,HOUSTON,TX ,77098,5330,†,Elementary,2,77,304,77,316,1,67,844,44.28,19.06
PORT HOUSTON EL,Texas,29.760154,-95.283162,2-No,2-No,302,293,TX ,482364002560,HOUSTON ISD,1800 MCCARTY ST,†,HOUSTON,TX ,77029,3761,†,Elementary,1,0,293,6,2,0,0,302,19.4,15.57
PROJECT CHRYSALIS MIDDLE,TEXAS,29.734833,-95.333742,2-No,2-No,277,214,TX ,482364017019,HOUSTON ISD,4528 LEELAND,†,HOUSTON,TX ,77023,3047,†,Middle,0,5,267,3,2,0,0,277,14,19.79
PUGH EL,Texas,29.768132,-95.307053,2-No,1-Yes,395,370,TX ,482364002561,HOUSTON ISD,1147 KRESS ST,†,HOUSTON,TX ,77020,7416,†,Elementary,2,0,381,10,2,0,0,395,30.93,12.77
R D S P D,Texas,29.614386,-95.438168,2-No,2-No,46,8,TX ,482364008618,HOUSTON ISD,4040 W FUQUA,†,HOUSTON,TX ,77045,6307,†,Elementary,0,1,28,4,12,1,0,46,10,4.6
RAY DAILY EL,Texas,29.753948,-95.615229,2-No,2-No,805,456,TX ,482364010752,HOUSTON ISD,12909 BRIAR FOREST,†,HOUSTON,TX ,77077,2005,†,Elementary,1,118,311,242,112,0,21,805,40.51,19.87
REAGAN K-8 EDUCATIONAL CTR,Texas,29.607350,-95.454368,2-No,2-No,996,953,TX ,482364012085,HOUSTON ISD,4842 ANDERSON RD,†,HOUSTON,TX ,77053,2202,†,Elementary,0,4,657,319,10,0,6,996,55.61,17.91
RED EL,Texas,29.666926,-95.454383,2-No,1-Yes,640,435,TX ,482364002563,HOUSTON ISD,4520 TONAWANDA DR,†,HOUSTON,TX ,77035,3716,†,Elementary,2,18,398,116,99,0,7,640,36,17.78
REVERE MIDDLE,Texas,29.748577,-95.560878,2-No,1-Yes,1260,1047,TX ,482364005496,HOUSTON ISD,10502 BRIAR FOREST DR,†,HOUSTON,TX ,77042,2338,†,Middle,10,54,750,345,92,0,9,1260,70.06,17.98
REYNOLDS EL,Texas,29.651765,-95.375436,2-No,2-No,467,448,TX ,482364002564,HOUSTON ISD,9601 ROSEHAVEN DR,†,HOUSTON,TX ,77051,3132,†,Elementary,3,3,47,406,3,0,5,467,28.92,16.15
RICE SCH /LA ESCUELA RICE,TEXAS,29.697878,-95.420574,2-No,1-Yes,1125,732,TX ,482364016978,HOUSTON ISD,7550 SEUSS DR,†,HOUSTON,TX ,77025,1501,†,Elementary,1,48,548,479,30,0,19,1125,65,17.31
RIVER OAKS EL,Texas,29.747144,-95.420157,2-No,1-Yes,636,47,TX ,482364002567,HOUSTON ISD,2008 KIRBY DR,†,HOUSTON,TX ,77019,6016,†,Elementary,0,207,90,29,248,0,62,636,35,18.17
ROBERTS EL,Texas,29.711744,-95.411890,2-No,2-No,749,102,TX ,482364002568,HOUSTON ISD,6000 GREENBRIAR ST,†,HOUSTON,TX ,77030,1145,†,Elementary,0,249,103,74,272,1,50,749,39,19.21
ROBINSON EL,Texas,29.789917,-95.212697,2-No,2-No,550,517,TX ,482364009272,HOUSTON ISD,12425 WOODFOREST BLVD,†,HOUSTON,TX ,77013,6110,†,Elementary,0,0,430,111,6,0,3,550,32.94,16.7
RODERICK R PAIGE EL,Texas,29.827108,-95.338206,2-No,2-No,468,459,TX ,482364002404,HOUSTON ISD,7501 CURRY RD,†,HOUSTON,TX ,77093,8821,†,Elementary,1,0,334,130,3,0,0,468,26,18
RODRIGUEZ EL,Texas,29.718459,-95.477456,2-No,2-No,988,967,TX ,482364008613,HOUSTON ISD,5858 CHIMNEY ROCK,†,HOUSTON,TX ,77081,2714,†,Elementary,0,30,887,59,10,1,1,988,58.7,16.83
ROOSEVELT EL,Texas,29.818396,-95.374655,2-No,1-Yes,603,474,TX ,482364002571,HOUSTON ISD,6700 FULTON ST,†,HOUSTON,TX ,77022,5416,†,Elementary,1,3,556,29,13,0,1,603,32.5,18.55
ROSS EL,Texas,29.801245,-95.340914,2-No,1-Yes,344,341,TX ,482364002572,HOUSTON ISD,2819 BAY ST,†,HOUSTON,TX ,77026,3203,†,Elementary,0,1,145,193,0,0,5,344,22.83,15.07
